IDfg,Season,Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,wOBA,wRAA,wRC,Bat,Fld,Rep,Pos,RAR,WAR,Dol,Spd,wRC+,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,FB% (Pitch),FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,XX%,PO%,wFB,wSL,wCT,wCB,wCH,wSF,wKN,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,BsR,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA (sc),wFT (sc),wFC (sc),wFS (sc),wFO (sc),wSI (sc),wSL (sc),wCU (sc),wKC (sc),wEP (sc),wCH (sc),wSC (sc),wKN (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Pace,Def,wSB,UBR,Age Rng,Off,Lg,wGDP,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,TTO%,CH% (pi),CS% (pi),CU% (pi),FA% (pi),FC% (pi),FS% (pi),KN% (pi),SB% (pi),SI% (pi),SL% (pi),XX% (pi),vCH (pi),vCS (pi),vCU (pi),vFA (pi),vFC (pi),vFS (pi),vKN (pi),vSB (pi),vSI (pi),vSL (pi),vXX (pi),CH-X (pi),CS-X (pi),CU-X (pi),FA-X (pi),FC-X (pi),FS-X (pi),KN-X (pi),SB-X (pi),SI-X (pi),SL-X (pi),XX-X (pi),CH-Z (pi),CS-Z (pi),CU-Z (pi),FA-Z (pi),FC-Z (pi),FS-Z (pi),KN-Z (pi),SB-Z (pi),SI-Z (pi),SL-Z (pi),XX-Z (pi),wCH (pi),wCS (pi),wCU (pi),wFA (pi),wFC (pi),wFS (pi),wKN (pi),wSB (pi),wSI (pi),wSL (pi),wXX (pi),wCH/C (pi),wCS/C (pi),wCU/C (pi),wFA/C (pi),wFC/C (pi),wFS/C (pi),wKN/C (pi),wSB/C (pi),wSI/C (pi),wSL/C (pi),wXX/C (pi),O-Swing% (pi),Z-Swing% (pi),Swing% (pi),O-Contact% (pi),Z-Contact% (pi),Contact% (pi),Zone% (pi),Pace (pi),FRM,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,LD+%,GB%+,FB%+,HR/FB%+,Pull%+,Cent%+,Oppo%+,Soft%+,Med%+,Hard%+,EV,LA,Barrels,Barrel%,maxEV,HardHit,HardHit%,Events,CStr%,CSW%,xBA,xSLG,xwOBA,L-WAR
1002378,1925,Ty Cobb,DET,38,121,415,490,157,102,31,12,12,97,102,65,,12.0,5.0,,5,,13,9.0,0.378,,,,,,,,,,,0.133,0.024,5.42,0.468,0.598,1.066,0.219,0.371,,,,,,,,,0.478,52.8,119,45.8,-2.0,16.4,-2.7,59.1,5.4,,6.5,163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.7,-1.4,,38 - 38,44.4,2.9,,,,,,,,0.182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.0,144.0,42.0,127.0,142.0,182.0,119.0,,,,,,,,,,,,,,,,,,0,,,,,,5.4
1013828,1925,Zack Wheat,BRO,37,150,616,670,221,151,42,14,14,125,103,45,,22.0,1.0,,8,,3,1.0,0.359,,,,,,,,,,,0.067,0.033,2.05,0.403,0.541,0.944,0.182,0.357,,,,,,,,,0.424,42.0,133,37.0,-1.0,22.5,-6.4,56.2,5.1,,5.8,138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.4,0.4,,37 - 37,37.3,3.8,,,,,,,,0.121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.0,89.0,54.0,113.0,126.0,142.0,115.0,,,,,,,,,,,,,,,,,,0,,,,,,5.1
1014131,1925,Al Wingo,DET,27,130,440,524,163,114,34,10,5,104,68,69,,31.0,0.0,,15,,14,13.0,0.37,,,,,,,,,,,0.132,0.059000000000000004,2.23,0.456,0.527,0.983,0.157,0.391,,,,,,,,,0.449,43.8,115,36.4,6.0,17.6,-5.2,54.7,5.0,,6.5,146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,-3.1,,27 - 27,33.3,3.1,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.0,143.0,101.0,123.0,126.0,130.0,126.0,,,,,,,,,,,,,,,,,,0,,,,,,5.0
1001023,1925,Ray Blades,STL,28,122,462,532,158,101,37,8,12,112,57,59,,47.0,6.0,,5,,6,8.0,0.342,,,,,,,,,,,0.111,0.08800000000000001,1.26,0.423,0.535,0.958,0.193,0.362,,,,,,,,,0.433,37.4,110,32.0,8.0,17.8,-4.9,53.6,4.9,,5.9,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,-2.4,,28 - 28,29.6,3.0,,,,,,,,0.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.0,147.0,146.0,118.0,125.0,150.0,117.0,,,,,,,,,,,,,,,,,,0,,,,,,4.9
1000503,1925,Dave Bancroft,BSN,34,128,479,560,153,114,29,8,2,75,49,64,,22.0,0.0,,17,,7,4.0,0.319,,,,,,,,,,,0.114,0.039,2.91,0.4,0.426,0.826,0.106,0.332,,,,,,,,,0.385,16.7,93,15.0,9.0,18.8,7.7,53.4,4.9,,5.2,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7,-0.3,,34 - 34,14.7,3.2,,,,,,,,0.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.0,152.0,65.0,112.0,99.0,83.0,107.0,,,,,,,,,,,,,,,,,,0,,,,,,4.9
1001944,1925,Max Carey,PIT,35,133,542,620,186,129,39,13,5,109,44,66,,19.0,4.0,,8,,46,11.0,0.343,,,,,,,,,,,0.106,0.031,3.47,0.418,0.491,0.909,0.148,0.349,,,,,,,,,0.416,34.8,119,27.1,0.0,20.8,-3.2,52.5,4.8,,8.3,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.2,4.3,,35 - 35,31.4,3.5,,,,,,,,0.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.0,141.0,51.0,117.0,114.0,115.0,112.0,,,,,,,,,,,,,,,,,,0,,,,,,4.8
1011766,1925,Joe Sewell,CLE,26,155,608,699,204,159,37,7,1,78,98,64,,4.0,4.0,,23,,7,6.0,0.336,,,,,,,,,,,0.092,0.006,16.0,0.402,0.424,0.827,0.089,0.337,,,,,,,,,0.386,21.4,116,11.9,5.0,23.4,9.5,52.9,4.8,,4.0,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,-1.1,,26 - 26,10.8,4.1,,,,,,,,0.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.0,100.0,10.0,109.0,101.0,74.0,108.0,,,,,,,,,,,,,,,,,,0,,,,,,4.8
1002451,1925,Eddie Collins,CHW,38,118,425,533,147,115,26,3,3,80,80,87,,8.0,4.0,,17,,19,6.0,0.346,,,,,,,,,,,0.163,0.015,10.88,0.461,0.442,0.904,0.096,0.348,,,,,,,,,0.427,34.8,107,29.8,-4.0,17.9,3.6,51.6,4.7,,5.2,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4,1.2,,38 - 38,31.0,3.2,,,,,,,,0.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.0,178.0,26.0,125.0,105.0,80.0,112.0,,,,,,,,,,,,,,,,,,0,,,,,,4.7
1014280,1925,Glenn Wright,PIT,24,153,614,660,189,129,32,10,18,97,121,31,,32.0,0.0,,15,,3,7.0,0.308,,,,,,,,,,,0.047,0.048,0.97,0.341,0.48,0.822,0.173,0.303,,,,,,,,,0.368,10.4,100,2.3,14.0,22.1,9.4,49.2,4.6,,4.7,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4,-2.5,,24 - 24,-0.2,3.8,,,,,,,,0.12300000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0,62.0,80.0,95.0,112.0,134.0,98.0,,,,,,,,,,,,,,,,,,0,,,,,,4.6
1010900,1925,Sam Rice,WAS,35,152,649,709,227,182,31,13,1,111,87,37,,10.0,4.0,,19,,26,11.0,0.35,,,,,,,,,,,0.052000000000000005,0.013999999999999999,3.7,0.388,0.442,0.831,0.092,0.354,,,,,,,,,0.383,19.8,116,13.8,12.0,23.8,-6.1,48.0,4.5,,7.0,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9,0.3,,35 - 35,14.1,4.2,,,,,,,,0.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.0,57.0,24.0,105.0,105.0,77.0,114.0,,,,,,,,,,,,,,,,,,0,,,,,,4.5
1009255,1925,Johnny Mostil,CHW,29,153,605,716,181,127,36,16,2,135,50,90,,52.0,12.0,,9,,43,20.0,0.299,,,,,,,,,,,0.126,0.073,1.73,0.4,0.421,0.822,0.122,0.325,,,,,,,,,0.385,21.2,119,14.4,8.0,24.0,-3.8,46.4,4.3,,8.2,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,-0.5,,29 - 29,13.9,4.2,,,,,,,,0.201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,137.0,123.0,108.0,100.0,102.0,104.0,,,,,,,,,,,,,,,,,,0,,,,,,4.3
